4000000000.000000 4500000000.000000 5000000000.000000 5500000000.000000 6000000000.000000 6500000000.000000 7000000000.000000 7500000000.000000 8000000000.000000 8500000000.000000 9000000000.000000 9500000000.000000 10000000000.000000 10500000000.000000 11000000000.000000 11500000000.000000 12000000000.000000 12500000000.000000 13000000000.000000 13500000000.000000 14000000000.000000 14500000000.000000 15000000000.000000 
100 48.000000 40.000000 48.000000 48.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 48.000000 
200 400.000000 36.000000 36.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 44.000000 44.000000 44.000000 44.000000 44.000000 44.000000 44.000000 
300 400.000000 42.666667 40.000000 34.666667 34.666667 34.666667 34.666667 34.666667 34.666667 64.000000 48.000000 45.333333 42.666667 37.333333 37.333333 37.333333 37.333333 37.333333 37.333333 37.333333 37.333333 37.333333 69.333333 
400 400.000000 38.000000 38.000000 36.000000 36.000000 36.000000 36.000000 40.000000 40.000000 40.000000 38.000000 38.000000 38.000000 38.000000 38.000000 38.000000 42.000000 42.000000 42.000000 42.000000 40.000000 40.000000 40.000000 
500 400.000000 40.000000 38.400000 38.400000 38.400000 38.400000 38.400000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 40.000000 41.600000 41.600000 41.600000 41.600000 41.600000 41.600000 41.600000 
600 400.000000 36.000000 36.000000 36.000000 36.000000 36.000000 38.666667 38.666667 37.333333 37.333333 37.333333 37.333333 40.000000 40.000000 40.000000 40.000000 38.666667 38.666667 38.666667 41.333333 41.333333 41.333333 40.000000 
700 400.000000 41.142857 40.000000 36.571429 36.571429 36.571429 36.571429 36.571429 37.714286 37.714286 37.714286 37.714286 37.714286 37.714286 37.714286 37.714286 38.857143 38.857143 38.857143 38.857143 38.857143 38.857143 40.000000 
800 400.000000 41.000000 38.000000 43.000000 42.000000 41.000000 41.000000 41.000000 40.000000 40.000000 38.000000 38.000000 42.000000 42.000000 41.000000 39.000000 39.000000 39.000000 43.000000 43.000000 43.000000 40.000000 40.000000 
900 400.000000 37.333333 39.111111 39.111111 38.222222 38.222222 38.222222 41.777778 40.888889 40.888889 40.888889 40.888889 42.666667 41.777778 41.777778 41.777778 41.777778 40.888889 43.555556 43.555556 42.666667 42.666667 42.666667 
1000 400.000000 36.000000 36.800000 36.800000 36.800000 39.200000 38.400000 38.400000 38.400000 38.400000 38.400000 38.400000 39.200000 39.200000 39.200000 39.200000 39.200000 41.600000 40.000000 40.000000 40.000000 40.800000 43.200000 
