10.000000 20.000000 30.000000 40.000000 50.000000 60.000000 70.000000 80.000000 90.000000 100.000000 110.000000 120.000000 130.000000 140.0000
100 16.000000 24.000000 32.000000 48.000000 56.000000 48.000000 72.000000 80.000000 80.000000 88.000000 96.000000 104.000000 112.000000 112.000000 
200 400.000000 20.000000 32.000000 36.000000 44.000000 104.000000 68.000000 68.000000 76.000000 96.000000 100.000000 104.000000 112.000000 120.000000 
300 400.000000 26.666667 29.333333 40.000000 48.000000 50.666667 64.000000 69.333333 80.000000 85.333333 93.333333 98.666667 109.333333 128.000000 
400 400.000000 22.000000 32.000000 38.000000 50.000000 52.000000 62.000000 68.000000 84.000000 92.000000 96.000000 108.000000 112.000000 124.000000 
500 400.000000 19.200000 30.400000 38.400000 43.200000 51.200000 64.000000 73.600000 78.400000 86.400000 104.000000 112.000000 116.800000 124.800000 
600 400.000000 22.666667 32.000000 36.000000 44.000000 56.000000 62.666667 68.000000 85.333333 93.333333 104.000000 112.000000 116.000000 121.333333 
700 400.000000 21.714286 29.714286 40.000000 48.000000 53.714286 62.857143 69.714286 81.142857 92.571429 98.285714 104.000000 124.571429 128.000000 
800 400.000000 24.000000 28.000000 38.000000 45.000000 60.000000 65.000000 78.000000 81.000000 87.000000 98.000000 110.000000 113.000000 123.000000 
900 400.000000 20.444444 32.000000 39.111111 44.444444 54.222222 64.000000 72.000000 88.888889 88.000000 96.000000 109.333333 115.555556 131.555556 
1000 400.000000 21.600000 32.800000 36.800000 45.600000 58.400000 64.000000 77.600000 83.200000 92.000000 98.400000 113.600000 116.800000 129.600000 
